season,game_type,week,weekday,gameday,gametime,game_time_12hr,game_id,home_team,away_team,location,spread_line,away_spread_odds,home_spread_odds,home_record_pre_W,home_record_pre_L,home_record_pre_T,home_record_pre_pct,away_record_pre_W,away_record_pre_L,away_record_pre_T,away_record_pre_pct,home_score,away_score,total_line,over_odds,under_odds,away_moneyline,home_moneyline,roof,surface,temp,away_rest,home_rest
2015,CON,20,Sunday,2016-01-24,18:40,6:40 PM,2015_20_ARI_CAR,CAR,ARI,Home,3.5,-105.0,-115.0,16,1,0,0.9411764705882353,14,3,0,0.8235294117647058,49.0,15.0,47.0,100.0,-110.0,154.0,-174.0,outdoors,grass,39.0,8,7
2015,CON,20,Sunday,2016-01-24,15:05,3:05 PM,2015_20_NE_DEN,DEN,NE,Home,-2.5,-105.0,-105.0,13,4,0,0.7647058823529411,13,4,0,0.7647058823529411,20.0,18.0,45.0,-102.0,-108.0,-128.0,116.0,outdoors,grass,46.0,8,7
2015,DIV,19,Saturday,2016-01-16,20:15,8:15 PM,2015_19_GB_ARI,ARI,GB,Home,7.0,-116.0,105.0,13,3,0,0.8125,11,6,0,0.6470588235294118,26.0,20.0,49.0,-108.0,-102.0,244.0,-275.0,closed,grass,,6,13
2015,DIV,19,Saturday,2016-01-16,16:35,4:35 PM,2015_19_KC_NE,NE,KC,Home,6.0,-105.0,-105.0,12,4,0,0.75,12,5,0,0.7058823529411765,27.0,20.0,44.0,-103.0,-107.0,231.0,-260.0,outdoors,fieldturf,38.0,7,13
2015,DIV,19,Sunday,2016-01-17,16:40,4:40 PM,2015_19_PIT_DEN,DEN,PIT,Home,7.0,-106.0,-104.0,12,4,0,0.75,11,6,0,0.6470588235294118,23.0,16.0,41.5,-110.0,100.0,256.0,-290.0,outdoors,grass,43.0,8,14
2015,DIV,19,Sunday,2016-01-17,13:05,1:05 PM,2015_19_SEA_CAR,CAR,SEA,Home,2.5,108.0,-119.0,15,1,0,0.9375,11,6,0,0.6470588235294118,31.0,24.0,41.5,106.0,-117.0,131.0,-145.0,outdoors,grass,43.0,7,14
2015,REG,1,Thursday,2015-09-10,20:30,8:30 PM,2015_01_PIT_NE,NE,PIT,Home,7.5,-111.0,101.0,0,0,0,,0,0,0,,28.0,21.0,51.0,-103.0,-107.0,305.0,-350.0,outdoors,fieldturf,65.0,7,7
2015,REG,1,Sunday,2015-09-13,16:25,4:25 PM,2015_01_BAL_DEN,DEN,BAL,Home,4.5,-101.0,-109.0,0,0,0,,0,0,0,,19.0,13.0,46.5,-105.0,-105.0,197.0,-220.0,outdoors,grass,88.0,7,7
2015,REG,1,Sunday,2015-09-13,13:00,1:00 PM,2015_01_CAR_JAX,JAX,CAR,Home,-3.0,-100.0,-110.0,0,0,0,,0,0,0,,9.0,20.0,41.0,-103.0,-107.0,-145.0,131.0,outdoors,grass,77.0,7,7
2015,REG,1,Sunday,2015-09-13,16:25,4:25 PM,2015_01_CIN_OAK,OAK,CIN,Home,-3.0,-100.0,-110.0,0,0,0,,0,0,0,,13.0,33.0,43.0,100.0,-110.0,-150.0,136.0,outdoors,grass,73.0,7,7
2015,REG,1,Sunday,2015-09-13,13:00,1:00 PM,2015_01_CLE_NYJ,NYJ,CLE,Home,3.5,-102.0,-108.0,0,0,0,,0,0,0,,31.0,10.0,39.0,-103.0,-107.0,166.0,-185.0,outdoors,fieldturf,77.0,7,7
2015,REG,1,Sunday,2015-09-13,16:05,4:05 PM,2015_01_DET_SD,SD,DET,Home,3.5,-108.0,-102.0,0,0,0,,0,0,0,,33.0,28.0,45.5,-106.0,-104.0,162.0,-180.0,outdoors,grass,84.0,7,7
2015,REG,1,Sunday,2015-09-13,13:00,1:00 PM,2015_01_GB_CHI,CHI,GB,Home,-5.5,-110.0,100.0,0,0,0,,0,0,0,,23.0,31.0,48.5,-103.0,-107.0,-250.0,222.0,outdoors,grass,72.0,7,7
2015,REG,1,Sunday,2015-09-13,13:00,1:00 PM,2015_01_IND_BUF,BUF,IND,Home,-1.0,-103.0,-107.0,0,0,0,,0,0,0,,27.0,14.0,44.5,-113.0,102.0,-109.0,-101.0,outdoors,a_turf,56.0,7,7
2015,REG,1,Sunday,2015-09-13,13:00,1:00 PM,2015_01_KC_HOU,HOU,KC,Home,-1.0,100.0,-110.0,0,0,0,,0,0,0,,20.0,27.0,41.0,-107.0,-103.0,-105.0,-105.0,closed,grass,,7,7
2015,REG,1,Sunday,2015-09-13,13:00,1:00 PM,2015_01_MIA_WAS,WAS,MIA,Home,-4.0,-110.0,100.0,0,0,0,,0,0,0,,10.0,17.0,45.5,-107.0,-103.0,-202.0,181.0,outdoors,grass,69.0,7,7
2015,REG,1,Sunday,2015-09-13,16:05,4:05 PM,2015_01_NO_ARI,ARI,NO,Home,2.0,100.0,-110.0,0,0,0,,0,0,0,,31.0,19.0,48.5,-105.0,-105.0,118.0,-130.0,closed,grass,,7,7
2015,REG,1,Sunday,2015-09-13,20:30,8:30 PM,2015_01_NYG_DAL,DAL,NYG,Home,7.0,-108.0,-102.0,0,0,0,,0,0,0,,27.0,26.0,52.0,-106.0,-104.0,266.0,-302.0,closed,matrixturf,,7,7
2015,REG,1,Sunday,2015-09-13,13:00,1:00 PM,2015_01_SEA_STL,STL,SEA,Home,-3.5,-101.0,-109.0,0,0,0,,0,0,0,,34.0,31.0,41.5,-107.0,-103.0,-177.0,159.0,dome,astroplay,,7,7
2015,REG,1,Sunday,2015-09-13,16:25,4:25 PM,2015_01_TEN_TB,TB,TEN,Home,3.0,-104.0,-106.0,0,0,0,,0,0,0,,14.0,42.0,40.5,-108.0,-102.0,140.0,-155.0,outdoors,grass,84.0,7,7
2015,REG,1,Monday,2015-09-14,22:20,10:20 PM,2015_01_MIN_SF,SF,MIN,Home,-2.5,-134.0,121.0,0,0,0,,0,0,0,,20.0,3.0,42.5,102.0,-113.0,-155.0,140.0,outdoors,grass,70.0,7,7
2015,REG,1,Monday,2015-09-14,19:10,7:10 PM,2015_01_PHI_ATL,ATL,PHI,Home,-3.5,100.0,-110.0,0,0,0,,0,0,0,,26.0,24.0,55.0,-104.0,-106.0,-177.0,159.0,dome,fieldturf,,7,7
2015,REG,2,Thursday,2015-09-17,20:25,8:25 PM,2015_02_DEN_KC,KC,DEN,Home,3.0,102.0,-113.0,1,0,0,1.0,1,0,0,1.0,24.0,31.0,42.0,-110.0,100.0,146.0,-162.0,outdoors,grass,87.0,4,4
2015,REG,2,Sunday,2015-09-20,13:00,1:00 PM,2015_02_ARI_CHI,CHI,ARI,Home,-2.0,-103.0,-107.0,0,1,0,0.0,1,0,0,1.0,23.0,48.0,45.5,-105.0,-105.0,-119.0,108.0,outdoors,grass,70.0,7,7
2015,REG,2,Sunday,2015-09-20,13:00,1:00 PM,2015_02_ATL_NYG,NYG,ATL,Home,2.0,-103.0,-107.0,0,1,0,0.0,1,0,0,1.0,20.0,24.0,49.5,-103.0,-107.0,111.0,-123.0,outdoors,fieldturf,73.0,6,7
2015,REG,2,Sunday,2015-09-20,16:05,4:05 PM,2015_02_BAL_OAK,OAK,BAL,Home,-6.0,-114.0,103.0,0,1,0,0.0,0,1,0,0.0,37.0,33.0,42.0,-106.0,-104.0,-254.0,226.0,outdoors,grass,80.0,7,7
2015,REG,2,Sunday,2015-09-20,16:25,4:25 PM,2015_02_DAL_PHI,PHI,DAL,Home,7.0,-110.0,100.0,0,1,0,0.0,1,0,0,1.0,10.0,20.0,53.0,-106.0,-104.0,252.0,-285.0,outdoors,grass,77.0,7,6
2015,REG,2,Sunday,2015-09-20,13:00,1:00 PM,2015_02_DET_MIN,MIN,DET,Home,2.5,104.0,-115.0,0,1,0,0.0,0,1,0,0.0,26.0,16.0,44.0,-105.0,-105.0,129.0,-143.0,outdoors,fieldturf,67.0,7,6
2015,REG,2,Sunday,2015-09-20,13:00,1:00 PM,2015_02_HOU_CAR,CAR,HOU,Home,3.0,-117.0,106.0,1,0,0,1.0,0,1,0,0.0,24.0,17.0,41.0,-102.0,-108.0,129.0,-143.0,outdoors,grass,88.0,7,7
2015,REG,2,Sunday,2015-09-20,16:05,4:05 PM,2015_02_MIA_JAX,JAX,MIA,Home,-5.0,-110.0,100.0,0,1,0,0.0,1,0,0,1.0,23.0,20.0,42.5,-105.0,-105.0,-230.0,205.0,outdoors,grass,87.0,7,7
2015,REG,2,Sunday,2015-09-20,13:00,1:00 PM,2015_02_NE_BUF,BUF,NE,Home,2.0,-103.0,-107.0,1,0,0,1.0,1,0,0,1.0,32.0,40.0,45.0,-105.0,-105.0,112.0,-124.0,outdoors,a_turf,62.0,10,7
2015,REG,2,Sunday,2015-09-20,13:00,1:00 PM,2015_02_SD_CIN,CIN,SD,Home,3.5,-110.0,100.0,1,0,0,1.0,1,0,0,1.0,24.0,19.0,47.5,-102.0,-108.0,156.0,-173.0,outdoors,fieldturf,69.0,7,7
